level	proton_energy_mev	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
high	0.5	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	0.5830281060297255	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	0.6798435448412177	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	0.7927357886906198	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	0.9243744909245456	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	1.077872617411859	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	1.256860061341878	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	1.4655694822171197	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	1.7089363989440256	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	1.9927159040031892	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	2.3236187587325836	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	2.709470088078	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	3.159394427592619	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	3.6840314986403864	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	4.295787814412312	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	5.009130066684769	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	5.840927231271547	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	6.810849482211396	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	7.9418333481344945	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
high	9.260624110733136	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
