level	total_rows	segment_rows	physical_columns	column_mux_ratio	simultaneous_output_bits_per_cycle	logical_bits_covered	minimum_column_select_cycles	probability_any_radiation_read_error	within_envelope_bootstrap_ci95_low	within_envelope_bootstrap_ci95_high	scope
high	2048	256	128	4	32	8	1	3.1243974615402652e-21	2.0615449801577912e-21	4.4133178139083196e-21	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	16	1	6.2487949230805304e-21	4.1230899603155825e-21	8.826635627816639e-21	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	32	1	1.2497589846161061e-20	8.246179920631165e-21	1.7653271255633278e-20	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	64	2	2.4995179692322122e-20	1.649235984126233e-20	3.5306542511266557e-20	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	128	4	4.9990359384644243e-20	3.298471968252466e-20	7.061308502253311e-20	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	256	8	9.998071876928849e-20	6.596943936504932e-20	1.4122617004506623e-19	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	512	16	1.9996143753857697e-19	1.3193887873009864e-19	2.8245234009013246e-19	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	8	1	9.526944943449503e-26	6.745594986246346e-26	1.2819803331268203e-25	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	16	1	1.9053889886899007e-25	1.3491189972492692e-25	2.5639606662536405e-25	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	32	1	3.8107779773798014e-25	2.6982379944985383e-25	5.127921332507281e-25	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	64	2	7.621555954759603e-25	5.396475988997077e-25	1.0255842665014562e-24	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	128	4	1.5243111909519206e-24	1.0792951977994153e-24	2.0511685330029124e-24	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	256	8	3.048622381903841e-24	2.1585903955988306e-24	4.102337066005825e-24	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	512	16	6.097244763807682e-24	4.317180791197661e-24	8.20467413201165e-24	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	8	1	8.637205608026812e-24	6.93269220218861e-24	1.0422662446748168e-23	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	16	1	1.7274411216053624e-23	1.386538440437722e-23	2.0845324893496337e-23	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	32	1	3.454882243210725e-23	2.773076880875444e-23	4.1690649786992674e-23	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	64	2	6.90976448642145e-23	5.546153761750888e-23	8.338129957398535e-23	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	128	4	1.38195289728429e-22	1.1092307523501776e-22	1.667625991479707e-22	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	256	8	2.76390579456858e-22	2.218461504700355e-22	3.335251982959414e-22	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	512	16	5.52781158913716e-22	4.43692300940071e-22	6.670503965918828e-22	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
