pvt_corner,tid_corner,desired_bit,node,strike_time_ns,strike_source,strike_sink,adverse_polarity,qcrit_fc,status
nominal,central,0,bl,0.2,0,bl,low_node_charge_injection,512.0,not_bracketed
nominal,central,0,bl,1.17,0,bl,low_node_charge_injection,512.0,not_bracketed
nominal,central,0,bl,2.14,0,bl,low_node_charge_injection,512.0,not_bracketed
nominal,central,0,mtj,0.2,0,mtj,low_node_charge_injection,512.0,not_bracketed
nominal,central,0,mtj,1.17,0,mtj,low_node_charge_injection,512.0,not_bracketed
nominal,central,0,mtj,2.14,0,mtj,low_node_charge_injection,512.0,not_bracketed
nominal,central,0,sot_top,0.2,0,sot_top,sot_channel_injection,512.0,not_bracketed
nominal,central,0,sot_top,1.17,0,sot_top,sot_channel_injection,512.0,not_bracketed
nominal,central,0,sot_top,2.14,0,sot_top,sot_channel_injection,512.0,not_bracketed
nominal,central,1,bl,0.2,bl,0,high_charge_removal,512.0,not_bracketed
nominal,central,1,bl,1.17,bl,0,high_charge_removal,512.0,not_bracketed
nominal,central,1,bl,2.14,bl,0,high_charge_removal,512.0,not_bracketed
nominal,central,1,mtj,0.2,mtj,0,high_charge_removal,512.0,not_bracketed
nominal,central,1,mtj,1.17,mtj,0,high_charge_removal,512.0,not_bracketed
nominal,central,1,mtj,2.14,mtj,0,high_charge_removal,512.0,not_bracketed
nominal,central,1,sot_top,0.2,0,sot_top,sot_channel_injection,512.0,not_bracketed
nominal,central,1,sot_top,1.17,0,sot_top,sot_channel_injection,512.0,not_bracketed
nominal,central,1,sot_top,2.14,0,sot_top,sot_channel_injection,512.0,not_bracketed
