parasitic_scale	vdd_v	n_present	dvth_sa_mv	sa_enable_ns	sense_time_ns	access_from_preoff_ns	d0_margin_mv	d1_margin_mv	d0_effective_margin_mv	d1_effective_margin_mv	min_margin_mv	out0_v	out1_v	read0_ok	read1_ok
0.5	1.0	0.0	0.0	1.65	1.9	0.8999999999999999	261.065	328.73999999999995	261.065	328.73999999999995	261.065	3.14793e-06	1.0	1.0	1.0
0.5	1.0	32.0	0.0	1.65	1.9	0.8999999999999999	220.561	293.15799999999996	220.561	293.15799999999996	220.561	3.20696e-06	1.0	1.0	1.0
0.5	1.0	64.0	0.0	1.65	1.9	0.8999999999999999	165.298	270.92100000000005	165.298	270.92100000000005	165.298	3.14682e-06	1.0	1.0	1.0
0.5	1.0	96.0	0.0	1.65	1.9	0.8999999999999999	120.199	250.13800000000003	120.199	250.13800000000003	120.199	2.23015e-06	1.0	1.0	1.0
0.5	1.0	112.0	0.0	1.65	1.9	0.8999999999999999	105.96	240.533	105.96	240.533	105.96	7.21386e-07	1.0	1.0	1.0
0.5	1.0	120.0	0.0	1.65	1.9	0.8999999999999999	101.411	235.94799999999998	101.411	235.94799999999998	101.411	-3.35518e-07	1.0	1.0	1.0
0.5	1.0	128.0	0.0	1.65	1.9	0.8999999999999999	98.4884	231.50799999999998	98.4884	231.50799999999998	98.4884	-1.5771e-06	1.0	1.0	1.0
0.5	1.0	136.0	0.0	1.65	1.9	0.8999999999999999	96.9503	227.21	96.9503	227.21	96.9503	-2.8488e-06	1.0	1.0	1.0
0.5	1.0	144.0	0.0	1.65	1.9	0.8999999999999999	96.4635	223.051	96.4635	223.051	96.4635	-3.97221e-06	1.0	1.0	1.0
0.5	1.0	160.0	0.0	1.65	1.9	0.8999999999999999	97.3451	215.13199999999998	97.3451	215.13199999999998	97.3451	-5.06997e-06	1.0	1.0	1.0
0.5	1.0	192.0	0.0	1.65	1.9	0.8999999999999999	101.244	200.765	101.244	200.765	101.244	-2.76918e-06	1.0	1.0	1.0
0.5	1.0	224.0	0.0	1.65	1.9	0.8999999999999999	104.661	188.116	104.661	188.116	104.661	-8.67575e-07	1.0	1.0	1.0
0.5	1.0	255.0	0.0	1.65	1.9	0.8999999999999999	106.803	177.248	106.803	177.248	106.803	-2.93151e-07	1.0	1.0	1.0
1.0	1.0	0.0	0.0	1.65	1.9	0.8999999999999999	125.419	199.813	125.419	199.813	125.419	-1.67652e-07	1.0	1.0	1.0
1.0	1.0	32.0	0.0	1.65	1.9	0.8999999999999999	99.8309	178.121	99.8309	178.121	99.8309	1.90436e-07	1.0	1.0	1.0
1.0	1.0	64.0	0.0	1.65	1.9	0.8999999999999999	96.20660000000001	161.023	96.20660000000001	161.023	96.20660000000001	6.98722e-07	1.0	1.0	1.0
1.0	1.0	96.0	0.0	1.65	1.9	0.8999999999999999	96.0106	147.044	96.0106	147.044	96.0106	1.37942e-06	1.0	1.0	1.0
1.0	1.0	112.0	0.0	1.65	1.9	0.8999999999999999	95.44959999999999	140.951	95.44959999999999	140.951	95.44959999999999	1.46629e-06	1.0	1.0	1.0
1.0	1.0	120.0	0.0	1.65	1.9	0.8999999999999999	95.042	138.094	95.042	138.094	95.042	1.44874e-06	1.0	1.0	1.0
1.0	1.0	128.0	0.0	1.65	1.9	0.8999999999999999	94.55669999999999	135.352	94.55669999999999	135.352	94.55669999999999	1.42997e-06	1.0	1.0	1.0
1.0	1.0	136.0	0.0	1.65	1.9	0.8999999999999999	94.0013	132.718	94.0013	132.718	94.0013	1.43099e-06	1.0	1.0	1.0
1.0	1.0	144.0	0.0	1.65	1.9	0.8999999999999999	93.38449999999999	130.18699999999998	93.38449999999999	130.18699999999998	93.38449999999999	1.45541e-06	1.0	1.0	1.0
1.0	1.0	160.0	0.0	1.65	1.9	0.8999999999999999	92.00229999999999	125.40599999999999	92.00229999999999	125.40599999999999	92.00229999999999	1.5418e-06	1.0	1.0	1.0
1.0	1.0	192.0	0.0	1.65	1.9	0.8999999999999999	88.8612	116.83399999999999	88.8612	116.83399999999999	88.8612	1.7235e-06	1.0	1.0	1.0
1.0	1.0	224.0	0.0	1.65	1.9	0.8999999999999999	85.5141	109.36500000000001	85.5141	109.36500000000001	85.5141	1.90506e-06	1.0	1.0	1.0
1.0	1.0	255.0	0.0	1.65	1.9	0.8999999999999999	82.27080000000001	102.991	82.27080000000001	102.991	82.27080000000001	2.09842e-06	1.0	1.0	1.0
