level	total_rows	segment_rows	physical_columns	column_mux_ratio	simultaneous_output_bits_per_cycle	logical_bits_covered	minimum_column_select_cycles	probability_any_radiation_read_error	within_envelope_bootstrap_ci95_low	within_envelope_bootstrap_ci95_high	scope
high	2048	256	128	4	32	8	1	2.6850017071381758e-22	1.4749878059663693e-22	4.1875274522849973e-22	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	16	1	5.3700034142763515e-22	2.9499756119327387e-22	8.375054904569995e-22	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	32	1	1.0740006828552703e-21	5.899951223865477e-22	1.675010980913999e-21	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	64	2	2.1480013657105406e-21	1.1799902447730955e-21	3.350021961827998e-21	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	128	4	4.296002731421081e-21	2.359980489546191e-21	6.700043923655996e-21	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	256	8	8.592005462842162e-21	4.719960979092382e-21	1.3400087847311991e-20	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
high	2048	256	128	4	32	512	16	1.7184010925684325e-20	9.439921958184764e-21	2.6800175694623983e-20	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	8	1	1.7624485888532685e-27	1.2808268257295374e-29	4.093788308854411e-27	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	16	1	3.524897177706537e-27	2.561653651459075e-29	8.187576617708822e-27	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	32	1	7.049794355413074e-27	5.12330730291815e-29	1.6375153235417644e-26	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	64	2	1.4099588710826148e-26	1.02466146058363e-28	3.275030647083529e-26	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	128	4	2.8199177421652296e-26	2.04932292116726e-28	6.550061294167058e-26	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	256	8	5.639835484330459e-26	4.09864584233452e-28	1.3100122588334116e-25	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
low	2048	256	128	4	32	512	16	1.1279670968660918e-25	8.19729168466904e-28	2.620024517666823e-25	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	8	1	1.0067568427501547e-24	8.013644068356864e-25	1.231469176544741e-24	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	16	1	2.0135136855003094e-24	1.6027288136713728e-24	2.462938353089482e-24	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	32	1	4.027027371000619e-24	3.2054576273427456e-24	4.925876706178964e-24	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	64	2	8.054054742001238e-24	6.410915254685491e-24	9.851753412357928e-24	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	128	4	1.6108109484002475e-23	1.2821830509370983e-23	1.9703506824715856e-23	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	256	8	3.221621896800495e-23	2.5643661018741965e-23	3.940701364943171e-23	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
nominal	2048	256	128	4	32	512	16	6.44324379360099e-23	5.128732203748393e-23	7.881402729886342e-23	heavy-ion read-window SET only; Qcrit input must have been characterized for 2048x128, 256-row segments, 4:1 mux
