condition_id,pvt_corner,tid_corner,samples,write_trials,write_failures,post_write_wrong_probability,post_write_wrong_wilson95_low,post_write_wrong_wilson95_high,read_correct_trials,read_correct_failures,read_error_given_correct_state,read_correct_wilson95_low,read_correct_wilson95_high,read_wrong_trials,read_wrong_errors,read_error_given_wrong_state,read_wrong_wilson95_low,read_wrong_wilson95_high,read_disturb_failures,read_disturb_probability,minimum_pre_sense_margin_v,median_pre_sense_margin_v,minimum_final_sense_margin_v,median_final_sense_margin_v,probability_semantics,is_foundry_pdk_result,is_total_target_ber
low_vdd_cold__tid_central,low_vdd_cold,central,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.20984400000000003,0.26187699999999997,0.80498496,0.8092364395,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
low_vdd_cold__tid_conservative,low_vdd_cold,conservative,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.20836299999999996,0.26174800000000004,0.80466862,0.8091845744999999,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
low_vdd_cold__tid_stress_not_a_fit,low_vdd_cold,stress_not_a_fit,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.21514199999999994,0.27270399999999995,0.80471886,0.8094076530000001,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
low_vdd_hot__tid_central,low_vdd_hot,central,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.056161000000000016,0.0811945,0.25809899999999997,0.3586935,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
low_vdd_hot__tid_conservative,low_vdd_hot,conservative,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.06065900000000002,0.08131799999999995,0.263884,0.3578625,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
low_vdd_hot__tid_stress_not_a_fit,low_vdd_hot,stress_not_a_fit,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.06277299999999997,0.0827465,0.26278200000000007,0.36196700000000004,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
nominal__tid_central,nominal,central,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.16205999999999998,0.20880549999999998,0.762845,0.8528872,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
nominal__tid_conservative,nominal,conservative,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.17274999999999996,0.21072500000000005,0.782987,0.85676625,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
nominal__tid_stress_not_a_fit,nominal,stress_not_a_fit,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.166284,0.20781300000000003,0.760972,0.8539435500000001,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
high_vdd_cold__tid_central,high_vdd_cold,central,128,256,0,0.0,0.0,0.01478385642587143,256,0,0.0,0.0,0.01478385642587143,256,256,1.0,0.9852161435741286,0.9999999999999999,0,0.0,0.443798,0.535258,0.9898996009,0.989987170295,"population fraction under declared engineering mismatch priors, conditional on each deterministic PVT/TID corner; not per-access temporal noise BER",False,False
