architecture_id,total_rows,physical_columns,capacity_bits,rows_per_local_bitline,segments_per_column,column_mux_ratio,output_word_bits,banks,pvt_corner,tid_model_corner,vdd_v,temperature_c,tid_krad_si,local_bitline_capacitance_ff,global_bitline_capacitance_ff,read_latency_s,write_latency_s,read_energy_per_word_j,write_energy_per_word_j,read_energy_per_output_bit_j,write_energy_per_output_bit_j,timing_proxy_cycle_s,timing_proxy_max_frequency_hz,configured_500mhz_feasible,minimum_pre_sense_margin_v,minimum_final_read_margin_v,minimum_final_write_margin_v,core_area_um2,sense_amp_area_um2,precharge_area_um2,column_mux_area_um2,segment_select_area_um2,row_decoder_area_um2,area_mm2_proxy,periphery_area_fraction,electrical_access_feasible,search_eligible,performance_grade,area_grade,absolute_target_macro_valid
sram_r256_c64_lr64_m1_low_vdd_cold__tid_central,256,64,16384,64,4,1,64,1,low_vdd_cold,central,0.81,-40.0,14.32,11.0,2.75,3.05079e-10,4.0601e-11,6.520384e-13,4.6910272e-14,1.01881e-14,7.32973e-16,1.255079e-09,796762594.2271363,True,0.45843100000000003,0.8099989038429001,0.8099999874912001,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,True,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_low_vdd_cold__tid_conservative,256,64,16384,64,4,1,64,1,low_vdd_cold,conservative,0.81,-40.0,14.32,11.0,2.75,3.04034e-10,4.05192e-11,6.520543999999999e-13,4.6759104e-14,1.0188349999999999e-14,7.30611e-16,1.254034e-09,797426545.0538023,True,0.459913,0.8099989016312,0.8099999874336,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,True,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_low_vdd_cold__tid_stress_not_a_fit,256,64,16384,64,4,1,64,1,low_vdd_cold,stress_not_a_fit,0.81,-40.0,14.32,11.0,2.75,3.01561e-10,4.03062e-11,6.52112e-13,4.6522368e-14,1.018925e-14,7.26912e-16,1.251561e-09,799002206.0450908,True,0.463449,0.809998899517,0.8099999873349001,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,False,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_low_vdd_hot__tid_central,256,64,16384,64,4,1,64,1,low_vdd_hot,central,0.81,85.0,14.32,11.0,2.75,5.32945e-10,1.04823e-10,6.492416e-13,4.4450784e-14,1.01444e-14,6.945435e-16,1.4829450000000002e-09,674333842.4553843,True,0.14378999999999997,0.666928,0.8099988779880001,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,True,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_low_vdd_hot__tid_conservative,256,64,16384,64,4,1,64,1,low_vdd_hot,conservative,0.81,85.0,14.32,11.0,2.75,5.32951e-10,1.05157e-10,6.482848e-13,4.4331712e-14,1.012945e-14,6.92683e-16,1.482951e-09,674331114.1096368,True,0.14380900000000008,0.666742,0.809998879165,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,True,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_low_vdd_hot__tid_stress_not_a_fit,256,64,16384,64,4,1,64,1,low_vdd_hot,stress_not_a_fit,0.81,85.0,14.32,11.0,2.75,5.308e-10,1.0509e-10,6.467616e-13,4.4095296e-14,1.010565e-14,6.88989e-16,1.4808e-09,675310642.895732,True,0.14491900000000002,0.6703749999999999,0.80999888183,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,False,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_nominal__tid_central,256,64,16384,64,4,1,64,1,nominal,central,0.9,27.0,14.32,11.0,2.75,3.78223e-10,5.00092e-11,8.108704e-13,5.816233600000001e-14,1.266985e-14,9.087865000000002e-16,1.328223e-09,752885622.3691354,True,0.3645590000000001,0.899347596,0.8999999358009,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,True,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_nominal__tid_conservative,256,64,16384,64,4,1,64,1,nominal,conservative,0.9,27.0,14.32,11.0,2.75,3.78267e-10,5.00998e-11,8.10896e-13,5.8006304e-14,1.267025e-14,9.063485e-16,1.328267e-09,752860682.3778652,True,0.364398,0.899323513,0.8999999355345,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,True,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_nominal__tid_stress_not_a_fit,256,64,16384,64,4,1,64,1,nominal,stress_not_a_fit,0.9,27.0,14.32,11.0,2.75,3.77737e-10,5.00454e-11,8.109568e-13,5.7745472e-14,1.26712e-14,9.02273e-16,1.327737e-09,753161205.8713435,True,0.36603700000000006,0.899309141,0.8999999353336,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,False,engineering_envelope,engineering_envelope,False
sram_r256_c64_lr64_m1_high_vdd_cold__tid_central,256,64,16384,64,4,1,64,1,high_vdd_cold,central,0.99,-40.0,14.32,11.0,2.75,1.80995e-10,2.61574e-11,9.731935999999999e-13,8.475391999999999e-14,1.5206149999999998e-14,1.3242799999999999e-15,1.130995e-09,884177206.795786,True,0.821427,0.989999844476,0.9899999589824,3932.16,614.4,61.44,46.08,92.16,122.88,0.005599487999999998,0.29776436702784237,True,True,engineering_envelope,engineering_envelope,False
