path_id,rows_per_local_bitline,column_mux_ratio,pvt_corner,tid_model_corner,vdd_v,temperature_c,tid_krad_si,local_bitline_capacitance_ff,global_bitline_capacitance_ff,read_latency_s,write_latency_s,selected_read_path_energy_j,selected_write_path_energy_j,minimum_pre_sense_margin_v,minimum_final_read_margin_v,minimum_final_write_margin_v,read_correct_both_values,write_correct_both_values,timing_proxy_cycle_s,timing_proxy_max_frequency_hz,configured_500mhz_feasible,is_stress_not_a_fit
r64_m1_high_vdd_cold__tid_central,64,1,high_vdd_cold,central,0.99,-40.0,14.32,11.0,2.75,1.80995e-10,2.61574e-11,1.5206149999999998e-14,1.3242799999999999e-15,0.821427,0.989999844476,0.9899999589824,True,True,1.130995e-09,884177206.795786,True,False
r64_m1_high_vdd_cold__tid_conservative,64,1,high_vdd_cold,conservative,0.99,-40.0,14.32,11.0,2.75,1.80647e-10,2.61049e-11,1.520645e-14,1.32088e-15,0.82224,0.989999844163,0.9899999588302,True,True,1.130647e-09,884449346.2592657,True,False
r64_m1_high_vdd_cold__tid_stress_not_a_fit,64,1,high_vdd_cold,stress_not_a_fit,0.99,-40.0,14.32,11.0,2.75,1.79869e-10,2.59911e-11,1.5206900000000002e-14,1.3156e-15,0.824024,0.989999843586,0.9899999585407,True,True,1.129869e-09,885058356.3227241,True,True
r64_m1_high_vdd_hot__tid_central,64,1,high_vdd_hot,central,0.99,85.0,14.32,11.0,2.75,3.97714e-10,5.55296e-11,1.54141e-14,1.12265e-15,0.34279099999999996,0.98389363,0.989997767595,True,True,1.3477140000000001e-09,741997189.3146468,True,False
r64_m1_high_vdd_hot__tid_conservative,64,1,high_vdd_hot,conservative,0.99,85.0,14.32,11.0,2.75,3.98033e-10,5.57293e-11,1.54143e-14,1.12023e-15,0.34198700000000004,0.98370358,0.9899977678730001,True,True,1.348033e-09,741821602.2901516,True,False
r64_m1_high_vdd_hot__tid_stress_not_a_fit,64,1,high_vdd_hot,stress_not_a_fit,0.99,85.0,14.32,11.0,2.75,3.97764e-10,5.57883e-11,1.5414049999999997e-14,1.1161e-15,0.342658,0.983618,0.9899977694090001,True,True,1.347764e-09,741969662.3444461,True,True
r64_m1_low_vdd_cold__tid_central,64,1,low_vdd_cold,central,0.81,-40.0,14.32,11.0,2.75,3.05079e-10,4.0601e-11,1.01881e-14,7.32973e-16,0.45843100000000003,0.8099989038429001,0.8099999874912001,True,True,1.255079e-09,796762594.2271363,True,False
r64_m1_low_vdd_cold__tid_conservative,64,1,low_vdd_cold,conservative,0.81,-40.0,14.32,11.0,2.75,3.04034e-10,4.05192e-11,1.0188349999999999e-14,7.30611e-16,0.459913,0.8099989016312,0.8099999874336,True,True,1.254034e-09,797426545.0538023,True,False
r64_m1_low_vdd_cold__tid_stress_not_a_fit,64,1,low_vdd_cold,stress_not_a_fit,0.81,-40.0,14.32,11.0,2.75,3.01561e-10,4.03062e-11,1.018925e-14,7.26912e-16,0.463449,0.809998899517,0.8099999873349001,True,True,1.251561e-09,799002206.0450908,True,True
r64_m1_low_vdd_hot__tid_central,64,1,low_vdd_hot,central,0.81,85.0,14.32,11.0,2.75,5.32945e-10,1.04823e-10,1.01444e-14,6.945435e-16,0.14378999999999997,0.666928,0.8099988779880001,True,True,1.4829450000000002e-09,674333842.4553843,True,False
r64_m1_low_vdd_hot__tid_conservative,64,1,low_vdd_hot,conservative,0.81,85.0,14.32,11.0,2.75,5.32951e-10,1.05157e-10,1.012945e-14,6.92683e-16,0.14380900000000008,0.666742,0.809998879165,True,True,1.482951e-09,674331114.1096368,True,False
r64_m1_low_vdd_hot__tid_stress_not_a_fit,64,1,low_vdd_hot,stress_not_a_fit,0.81,85.0,14.32,11.0,2.75,5.308e-10,1.0509e-10,1.010565e-14,6.88989e-16,0.14491900000000002,0.6703749999999999,0.80999888183,True,True,1.4808e-09,675310642.895732,True,True
r64_m1_nominal__tid_central,64,1,nominal,central,0.9,27.0,14.32,11.0,2.75,3.78223e-10,5.00092e-11,1.266985e-14,9.087865000000002e-16,0.3645590000000001,0.899347596,0.8999999358009,True,True,1.328223e-09,752885622.3691354,True,False
