scenario,refresh_interval_s,single_read_ber_mean_uniform,single_read_ber_endpoint,single_32bit_word_read_error_mean_independent_bits,single_write_radiation_ber_upper_proxy,expected_wrong_bits_at_endpoint_for_262144bit_array
partial_low,1e-06,2.869088367863723e-20,5.738176735727446e-20,9.181082777163914e-19,8.894173940377543e-23,1.5042286022105356e-14
engineering_nominal,1e-06,8.588729174295427e-20,1.7177458348590854e-19,2.7483933357745366e-18,2.6625060440315827e-22,4.502967641333001e-14
engineering_high,1e-06,4.519759110756929e-19,9.039518221513859e-19,1.4463229154422174e-17,1.401125324334648e-21,2.369655464660529e-13
partial_low,1e-05,2.8690883678637235e-19,5.738176735727447e-19,9.181082777163915e-18,8.894173940377543e-23,1.5042286022105359e-13
engineering_nominal,1e-05,8.588729174295428e-19,1.7177458348590856e-18,2.748393335774537e-17,2.6625060440315827e-22,4.5029676413330014e-13
engineering_high,1e-05,4.51975911075693e-18,9.03951822151386e-18,1.4463229154422175e-16,1.401125324334648e-21,2.369655464660529e-12
partial_low,0.0001,2.8690883678637236e-18,5.738176735727447e-18,9.181082777163916e-17,8.894173940377543e-23,1.504228602210536e-12
engineering_nominal,0.0001,8.588729174295428e-18,1.7177458348590856e-17,2.7483933357745365e-16,2.6625060440315827e-22,4.5029676413330015e-12
engineering_high,0.0001,4.519759110756929e-17,9.039518221513857e-17,1.4463229154422164e-15,1.401125324334648e-21,2.3696554646605286e-11
partial_low,0.001,2.869088367863723e-17,5.738176735727446e-17,9.18108277716391e-16,8.894173940377543e-23,1.5042286022105357e-11
engineering_nominal,0.001,8.588729174295427e-17,1.7177458348590854e-16,2.7483933357745327e-15,2.6625060440315827e-22,4.502967641333001e-11
engineering_high,0.001,4.5197591107569265e-16,9.039518221513851e-16,1.4463229154422064e-14,1.401125324334648e-21,2.369655464660527e-10
partial_low,0.01,2.8690883678637224e-16,5.738176735727444e-16,9.18108277716387e-15,8.894173940377543e-23,1.504228602210535e-10
engineering_nominal,0.01,8.588729174295418e-16,1.7177458348590825e-15,2.748393335774497e-14,2.6625060440315827e-22,4.5029676413329933e-10
engineering_high,0.01,4.519759110756902e-15,9.039518221513777e-15,1.4463229154421074e-13,1.401125324334648e-21,2.3696554646605075e-09
partial_low,0.1,2.8690883678637124e-15,5.738176735727414e-15,9.18108277716347e-14,8.894173940377543e-23,1.5042286022105271e-09
engineering_nominal,0.1,8.58872917429533e-15,1.717745834859056e-14,2.7483933357741395e-13,2.6625060440315827e-22,4.5029676413329234e-09
engineering_high,0.1,4.5197591107566565e-14,9.039518221513042e-14,1.446322915441117e-12,1.401125324334648e-21,2.3696554646603148e-08
partial_low,1.0,2.8690883678636136e-14,5.738176735727117e-14,9.18108277715948e-13,8.894173940377543e-23,1.5042286022104495e-08
engineering_nominal,1.0,8.588729174294444e-14,1.7177458348587904e-13,2.7483933357705633e-12,2.6625060440315827e-22,4.5029676413322276e-08
engineering_high,1.0,4.519759110754205e-13,9.039518221505687e-13,1.4463229154312132e-11,1.401125324334648e-21,2.3696554646583869e-07
partial_low,10.0,2.8690883678626256e-13,5.738176735724154e-13,9.181082777119573e-12,8.894173940377543e-23,1.5042286022096725e-07
engineering_nominal,10.0,8.588729174285592e-13,1.717745834856135e-12,2.7483933357348016e-11,2.6625060440315827e-22,4.5029676413252663e-07
engineering_high,10.0,4.519759110729691e-12,9.039518221432145e-12,1.446322915332177e-10,1.401125324334648e-21,2.369655464639108e-06
partial_low,60.0,1.721453020714283e-12,3.4429060414246146e-12,5.5086496661387207e-11,8.894173940377543e-23,9.025371613232142e-07
engineering_nominal,60.0,5.1532375045418485e-12,1.030647500904829e-11,1.6490360013216744e-10,2.6625060440315827e-22,2.701780584771955e-06
engineering_high,60.0,2.711855466356102e-11,5.4237109326141486e-11,8.677937488691862e-10,1.401125324334648e-21,1.4217932787192034e-05
partial_low,300.0,8.60726510349239e-12,1.7214530206886e-11,2.754324832750103e-10,8.894173940377543e-23,4.5126858065539235e-06
engineering_nominal,300.0,2.5766187522001086e-11,5.153237504311698e-11,8.245180003747421e-10,2.6625060440315827e-22,1.3508902923302858e-05
engineering_high,300.0,1.3559277329819402e-10,2.711855465718742e-10,4.33896873642305e-09,1.401125324334648e-21,7.108966392053739e-05
partial_low,1500.0,4.303632551548635e-11,8.60726510285032e-11,1.377162415576909e-09,8.894173940377543e-23,2.2563429031215943e-05
engineering_nominal,1500.0,1.2883093759230154e-10,2.576618751624732e-10,4.1225899947213344e-09,2.6625060440315827e-22,6.754451460259138e-05
engineering_high,1500.0,6.779638660006928e-10,1.3559277313885388e-09,2.1694843484043208e-08,1.401125324334648e-21,0.0003554483192171171
