let_mev_cm2_mg,differential_flux_cm2_s_per_mev_cm2_mg,aps28_global_well_sram_sigma_cm2_per_bit,kintex7_blockram_sigma_cm2_per_bit,kintex7_configuration_sram_sigma_cm2_per_bit,pointwise_low_sigma_cm2_per_bit,pointwise_median_sigma_cm2_per_bit,pointwise_high_sigma_cm2_per_bit
0.001609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016635999999999999,4562.721019871204,0.0,0.0,0.0,0.0,0.0,0.0
0.0016822999999999999,4338.059688301705,0.0,0.0,0.0,0.0,0.0,0.0
0.0017011,2959.16988382655,0.0,0.0,0.0,0.0,0.0,0.0
0.0017201999999999999,9011.955790662958,0.0,0.0,0.0,0.0,0.0,0.0
0.0017394,585.8090045529461,0.0,0.0,0.0,0.0,0.0,0.0
0.0017588999999999999,346.74671426950357,0.0,0.0,0.0,0.0,0.0,0.0
0.0017786,345.55925281495036,0.0,0.0,0.0,0.0,0.0,0.0
0.0017985,305.59997943824004,0.0,0.0,0.0,0.0,0.0,0.0
0.0018187,202.40240645159813,0.0,0.0,0.0,0.0,0.0,0.0
0.001839,202.40240645159813,0.0,0.0,0.0,0.0,0.0,0.0
0.0018595999999999999,195.4051503636939,0.0,0.0,0.0,0.0,0.0,0.0
0.0018805,194.56834866753223,0.0,0.0,0.0,0.0,0.0,0.0
0.0019015,152.0269443426659,0.0,0.0,0.0,0.0,0.0,0.0
0.0019228000000000001,120.26832758833986,0.0,0.0,0.0,0.0,0.0,0.0
0.0019444,120.26832758833986,0.0,0.0,0.0,0.0,0.0,0.0
0.0019661,102.249197730992,0.0,0.0,0.0,0.0,0.0,0.0
0.0019882,82.68397712073593,0.0,0.0,0.0,0.0,0.0,0.0
0.0020104000000000003,82.68397712073593,0.0,0.0,0.0,0.0,0.0,0.0
0.002033,82.68397712073593,0.0,0.0,0.0,0.0,0.0,0.0
0.0020556999999999997,59.36430623370119,0.0,0.0,0.0,0.0,0.0,0.0
0.0020788,56.47853581293796,0.0,0.0,0.0,0.0,0.0,0.0
0.0021019999999999997,56.47853581293796,0.0,0.0,0.0,0.0,0.0,0.0
0.0021256,56.47853581293796,0.0,0.0,0.0,0.0,0.0,0.0
0.0021494,52.57425818484654,0.0,0.0,0.0,0.0,0.0,0.0
0.0021735,44.58001264751544,0.0,0.0,0.0,0.0,0.0,0.0
0.0021978,44.58001264751544,0.0,0.0,0.0,0.0,0.0,0.0
0.0022224,42.570094668734754,0.0,0.0,0.0,0.0,0.0,0.0
0.0022473000000000003,35.99841201487848,0.0,0.0,0.0,0.0,0.0,0.0
0.0022724999999999998,35.99841201487848,0.0,0.0,0.0,0.0,0.0,0.0
0.0022979,35.99841201487848,0.0,0.0,0.0,0.0,0.0,0.0
0.0023237,35.99841201487848,0.0,0.0,0.0,0.0,0.0,0.0
0.0023496999999999997,42.75737885787569,0.0,0.0,0.0,0.0,0.0,0.0
0.002376,45.67104266851098,0.0,0.0,0.0,0.0,0.0,0.0
0.0024026,45.67104266851098,0.0,0.0,0.0,0.0,0.0,0.0
0.0024295,45.67104266851098,0.0,0.0,0.0,0.0,0.0,0.0
0.0024568,39.23803001001863,0.0,0.0,0.0,0.0,0.0,0.0
0.0024843,28.80351133588085,0.0,0.0,0.0,0.0,0.0,0.0
0.0025121,28.80351133588085,0.0,0.0,0.0,0.0,0.0,0.0
0.0025402,28.80351133588085,0.0,0.0,0.0,0.0,0.0,0.0
0.0025687,28.80351133588085,0.0,0.0,0.0,0.0,0.0,0.0
0.0025975,28.80351133588085,0.0,0.0,0.0,0.0,0.0,0.0
0.0026265,28.80351133588085,0.0,0.0,0.0,0.0,0.0,0.0
0.002656,29.5343181505287,0.0,0.0,0.0,0.0,0.0,0.0
0.0026857,30.09457680995885,0.0,0.0,0.0,0.0,0.0,0.0
0.0027158000000000004,30.09457680995885,0.0,0.0,0.0,0.0,0.0,0.0
0.0027462,30.09457680995885,0.0,0.0,0.0,0.0,0.0,0.0
0.002777,636.5670045801236,0.0,0.0,0.0,0.0,0.0,0.0
0.0028081,881.2717291576848,0.0,0.0,0.0,0.0,0.0,0.0
0.0028395,881.2717291576848,0.0,0.0,0.0,0.0,0.0,0.0
