radiation_scenario,electrical_scenario,reset_or_scrub_interval_s,physical_toggle_rate_per_bit_s,post_write_wrong_probability,read_error_given_correct_state,read_error_given_wrong_state,mean_stored_state_wrong_probability_per_read,joint_raw_bit_read_error_probability,secded_codeword_bits,joint_independent_bit_secded_due_probability,combination_rule,is_ngspice_derived,is_total_target_ber
partial_low,ptm32_access_low_vdd_cold__tid_central,1.0,5.738176735727447e-14,0.0,0.0,1.0,2.8699265186560297e-14,2.8699265186560297e-14,72,2.8053569777173863e-24,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_central,60.0,5.738176735727447e-14,0.0,0.0,1.0,1.7214563108325365e-12,1.7214563108325365e-12,72,1.009927069390154e-20,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_central,1500.0,5.738176735727447e-14,0.0,0.0,1.0,4.303629674851095e-11,4.303629674851095e-11,72,6.312043052522054e-18,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_central,3600.0,5.738176735727447e-14,0.0,0.0,1.0,1.0328715660534726e-10,1.0328715660534726e-10,72,3.635736796097034e-17,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_central,86400.0,5.738176735727447e-14,0.0,0.0,1.0,2.4788923136398466e-09,2.4788923136398466e-09,72,2.0941840226200785e-14,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_conservative,1.0,5.738176735727447e-14,0.0,0.0,1.0,2.8699265186560297e-14,2.8699265186560297e-14,72,2.8053569777173863e-24,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_conservative,60.0,5.738176735727447e-14,0.0,0.0,1.0,1.7214563108325365e-12,1.7214563108325365e-12,72,1.009927069390154e-20,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_conservative,1500.0,5.738176735727447e-14,0.0,0.0,1.0,4.303629674851095e-11,4.303629674851095e-11,72,6.312043052522054e-18,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_conservative,3600.0,5.738176735727447e-14,0.0,0.0,1.0,1.0328715660534726e-10,1.0328715660534726e-10,72,3.635736796097034e-17,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_conservative,86400.0,5.738176735727447e-14,0.0,0.0,1.0,2.4788923136398466e-09,2.4788923136398466e-09,72,2.0941840226200785e-14,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,1.0,5.738176735727447e-14,0.0,0.0,1.0,2.8699265186560297e-14,2.8699265186560297e-14,72,2.8053569777173863e-24,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,60.0,5.738176735727447e-14,0.0,0.0,1.0,1.7214563108325365e-12,1.7214563108325365e-12,72,1.009927069390154e-20,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,1500.0,5.738176735727447e-14,0.0,0.0,1.0,4.303629674851095e-11,4.303629674851095e-11,72,6.312043052522054e-18,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,3600.0,5.738176735727447e-14,0.0,0.0,1.0,1.0328715660534726e-10,1.0328715660534726e-10,72,3.635736796097034e-17,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_cold__tid_stress_not_a_fit,86400.0,5.738176735727447e-14,0.0,0.0,1.0,2.4788923136398466e-09,2.4788923136398466e-09,72,2.0941840226200785e-14,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_central,1.0,5.738176735727447e-14,0.0,0.0,1.0,2.8699265186560297e-14,2.8699265186560297e-14,72,2.8053569777173863e-24,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_central,60.0,5.738176735727447e-14,0.0,0.0,1.0,1.7214563108325365e-12,1.7214563108325365e-12,72,1.009927069390154e-20,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_central,1500.0,5.738176735727447e-14,0.0,0.0,1.0,4.303629674851095e-11,4.303629674851095e-11,72,6.312043052522054e-18,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_central,3600.0,5.738176735727447e-14,0.0,0.0,1.0,1.0328715660534726e-10,1.0328715660534726e-10,72,3.635736796097034e-17,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_central,86400.0,5.738176735727447e-14,0.0,0.0,1.0,2.4788923136398466e-09,2.4788923136398466e-09,72,2.0941840226200785e-14,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_conservative,1.0,5.738176735727447e-14,0.0,0.0,1.0,2.8699265186560297e-14,2.8699265186560297e-14,72,2.8053569777173863e-24,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_conservative,60.0,5.738176735727447e-14,0.0,0.0,1.0,1.7214563108325365e-12,1.7214563108325365e-12,72,1.009927069390154e-20,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_conservative,1500.0,5.738176735727447e-14,0.0,0.0,1.0,4.303629674851095e-11,4.303629674851095e-11,72,6.312043052522054e-18,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_conservative,3600.0,5.738176735727447e-14,0.0,0.0,1.0,1.0328715660534726e-10,1.0328715660534726e-10,72,3.635736796097034e-17,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_conservative,86400.0,5.738176735727447e-14,0.0,0.0,1.0,2.4788923136398466e-09,2.4788923136398466e-09,72,2.0941840226200785e-14,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_stress_not_a_fit,1.0,5.738176735727447e-14,0.0,0.0,1.0,2.8699265186560297e-14,2.8699265186560297e-14,72,2.8053569777173863e-24,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_stress_not_a_fit,60.0,5.738176735727447e-14,0.0,0.0,1.0,1.7214563108325365e-12,1.7214563108325365e-12,72,1.009927069390154e-20,condition read on evolved stored state,True,False
partial_low,ptm32_access_low_vdd_hot__tid_stress_not_a_fit,1500.0,5.738176735727447e-14,0.0,0.0,1.0,4.303629674851095e-11,4.303629674851095e-11,72,6.312043052522054e-18,condition read on evolved stored state,True,False
