proton_energy_mev,differential_flux_cm2_s_mev,measured_bands_partial_sigma_cm2_per_bit,cross_technology_log_bridge_sigma_cm2_per_bit,gap_plateau_ceiling_sigma_cm2_per_bit
0.1,0.005704596705833521,0.0,0.0,0.0
0.3,0.007947384642346051,0.0,0.0,0.0
0.5,0.00993243765644079,0.0,0.0,0.0
0.7,0.011814046041810019,0.0,0.0,0.0
1.0,0.014511735319435956,0.0,0.0,0.0
1.1,0.015325425349703633,0.0,0.0,0.0
1.2,0.01623793767551802,0.0,0.0,0.0
1.4,0.017827860898225183,0.0,0.0,0.0
1.6,0.019426550614892134,0.0,0.0,0.0
1.8,0.02094554493192464,0.0,0.0,0.0
2.0,0.022729127975743505,6.699999999999977e-17,6.699999999999977e-17,6.699999999999977e-17
2.2,0.024101482757448636,7.967237074722727e-17,7.967237074722727e-17,7.967237074722727e-17
2.5,0.026515456412375953,1.0051081792456279e-16,1.0051081792456279e-16,1.0051081792456279e-16
2.8,0.028580364216904405,1.2350047364490948e-16,1.2350047364490948e-16,1.2350047364490948e-16
3.2,0.031312322516373156,1.380097446955035e-16,1.380097446955035e-16,1.380097446955035e-16
3.5,0.03324015423353036,1.3529309302181212e-16,1.3529309302181212e-16,1.3529309302181212e-16
4.0,0.03709342680585574,1.3134389246150013e-16,1.3134389246150013e-16,1.3134389246150013e-16
4.5,0.039668385168044634,1.279562469107732e-16,1.279562469107732e-16,1.279562469107732e-16
5.0,0.04268963776818642,1.2500000000000033e-16,1.2500000000000033e-16,1.2500000000000033e-16
5.5,0.04523271797052154,1.149271734975985e-16,1.149271734975985e-16,1.149271734975985e-16
6.3,0.04951554874687657,1.0196104129037026e-16,1.0196104129037026e-16,1.0196104129037026e-16
7.1,0.053472425338726724,9.176333303049549e-17,9.176333303049549e-17,9.176333303049549e-17
8.0,0.05740698721867924,8.26e-17,8.259999999999999e-17,8.26e-17
9.0,0.06055814332022517,0.0,1.0430260126638971e-16,7.9e-15
10.0,0.06437874077870043,0.0,1.2850634696232385e-16,7.9e-15
11.0,0.06690588190110865,0.0,1.5520613268759602e-16,7.9e-15
12.0,0.07063881441998603,0.0,1.8439735152088984e-16,7.9e-15
14.0,0.0754460409259357,0.0,2.5023764257595136e-16,7.9e-15
16.0,0.07938458757586994,0.0,3.2599746156930445e-16,7.9e-15
18.0,0.08190296220431838,0.0,4.116511289094263e-16,7.9e-15
20.0,0.08514656496944026,0.0,5.07176064228352e-16,7.9e-15
22.0,0.08541752932819736,0.0,6.125521219872272e-16,7.9e-15
25.0,0.08655717354296992,0.0,7.89047739475962e-16,7.9e-15
28.0,0.08657311262289681,0.0,9.876130298891896e-16,7.9e-15
32.0,0.08919509127087002,0.0,1.2866143456371782e-15,7.9e-15
35.0,0.08977686768820146,0.0,1.536495674133803e-15,7.9e-15
40.0,0.09194458255825835,0.0,2.001672027931638e-15,7.9e-15
45.0,0.09398478478890013,0.0,2.527598055634877e-15,7.9e-15
50.0,0.09650315941734856,0.0,3.1141351104862166e-15,7.9e-15
55.0,0.0948215864850618,0.0,3.7611594959347125e-15,7.9e-15
63.0,0.09107590270224292,0.0,4.921937272149442e-15,7.9e-15
71.0,0.08573631092673514,0.0,6.236873135824432e-15,7.9e-15
80.0,0.08081910476928994,7.900000000000008e-15,7.900000000000008e-15,7.900000000000008e-15
90.0,0.07353096047272001,7.242012499221068e-15,7.242012499221068e-15,7.242012499221068e-15
100.0,0.06753946032820249,6.699999999999992e-15,6.699999999999992e-15,6.699999999999992e-15
110.0,0.05945834680526984,6.532841344105342e-15,6.532841344105342e-15,6.532841344105342e-15
120.0,0.05414186669565606,6.3838816705045606e-15,6.3838816705045606e-15,6.3838816705045606e-15
140.0,0.04399265755220958,6.1282723551545584e-15,6.1282723551545584e-15,6.1282723551545584e-15
160.0,0.03486434647808034,5.915141068217492e-15,5.915141068217492e-15,5.915141068217492e-15
