pvt_corner,tid_corner,stored_bit,node,strike_source,strike_sink,adverse_polarity,status,qcrit_fc,lower_no_fail_fc,upper_fail_fc,iterations
high_vdd_cold,central,1,q,q,0,high_charge_removal,bracketed,2.3218750000000004,2.31875,2.325,11
high_vdd_cold,central,1,qb,0,qb,low_node_charge_injection,bracketed,3.7406249999999996,3.7375,3.74375,13
high_vdd_cold,conservative,1,q,q,0,high_charge_removal,bracketed,2.315625,2.3125,2.31875,11
high_vdd_cold,conservative,1,qb,0,qb,low_node_charge_injection,bracketed,3.7406249999999996,3.7375,3.74375,13
high_vdd_cold,stress_not_a_fit,1,q,q,0,high_charge_removal,bracketed,2.309375,2.3062500000000004,2.3125,11
high_vdd_cold,stress_not_a_fit,1,qb,0,qb,low_node_charge_injection,bracketed,3.753125,3.75,3.75625,13
high_vdd_hot,central,1,q,q,0,high_charge_removal,bracketed,1.3906250000000002,1.3875000000000002,1.3937500000000003,9
high_vdd_hot,central,1,qb,0,qb,low_node_charge_injection,bracketed,2.2593750000000004,2.25625,2.2625,11
high_vdd_hot,conservative,1,q,q,0,high_charge_removal,bracketed,1.3843750000000001,1.38125,1.3875000000000002,9
high_vdd_hot,conservative,1,qb,0,qb,low_node_charge_injection,bracketed,2.253125,2.25,2.25625,11
high_vdd_hot,stress_not_a_fit,1,q,q,0,high_charge_removal,bracketed,1.378125,1.375,1.38125,9
high_vdd_hot,stress_not_a_fit,1,qb,0,qb,low_node_charge_injection,bracketed,2.253125,2.25,2.25625,11
low_vdd_cold,central,1,q,q,0,high_charge_removal,bracketed,1.615625,1.6125,1.61875,11
low_vdd_cold,central,1,qb,0,qb,low_node_charge_injection,bracketed,2.5656250000000007,2.562500000000001,2.5687500000000005,11
low_vdd_cold,conservative,1,q,q,0,high_charge_removal,bracketed,1.609375,1.6062500000000002,1.6125,11
low_vdd_cold,conservative,1,qb,0,qb,low_node_charge_injection,bracketed,2.5718750000000004,2.5687500000000005,2.5750000000000006,11
low_vdd_cold,stress_not_a_fit,1,q,q,0,high_charge_removal,bracketed,1.6031250000000001,1.6,1.6062500000000002,11
low_vdd_cold,stress_not_a_fit,1,qb,0,qb,low_node_charge_injection,bracketed,2.578125000000001,2.5750000000000006,2.5812500000000007,11
low_vdd_hot,central,1,q,q,0,high_charge_removal,bracketed,1.053125,1.05,1.05625,9
low_vdd_hot,central,1,qb,0,qb,low_node_charge_injection,bracketed,1.546875,1.5437500000000002,1.55,9
low_vdd_hot,conservative,1,q,q,0,high_charge_removal,bracketed,1.046875,1.0437500000000002,1.05,9
low_vdd_hot,conservative,1,qb,0,qb,low_node_charge_injection,bracketed,1.5406250000000001,1.5375,1.5437500000000002,9
low_vdd_hot,stress_not_a_fit,1,q,q,0,high_charge_removal,bracketed,1.046875,1.0437500000000002,1.05,9
low_vdd_hot,stress_not_a_fit,1,qb,0,qb,low_node_charge_injection,bracketed,1.5406250000000001,1.5375,1.5437500000000002,9
nominal,central,0,q,0,q,low_node_charge_injection,bracketed,2.371875,2.3687500000000004,2.3750000000000004,11
nominal,central,0,qb,qb,0,high_charge_removal,bracketed,1.4343750000000002,1.4312500000000004,1.4375000000000002,9
nominal,central,1,q,q,0,high_charge_removal,bracketed,1.4343750000000002,1.4312500000000004,1.4375000000000002,9
nominal,central,1,qb,0,qb,low_node_charge_injection,bracketed,2.371875,2.3687500000000004,2.3750000000000004,11
nominal,conservative,1,q,q,0,high_charge_removal,bracketed,1.4281250000000003,1.4250000000000003,1.4312500000000004,9
nominal,conservative,1,qb,0,qb,low_node_charge_injection,bracketed,2.371875,2.3687500000000004,2.3750000000000004,11
nominal,stress_not_a_fit,1,q,q,0,high_charge_removal,bracketed,1.4218750000000002,1.4187500000000002,1.4250000000000003,9
nominal,stress_not_a_fit,1,qb,0,qb,low_node_charge_injection,bracketed,2.371875,2.3687500000000004,2.3750000000000004,11
