condition_id,write_bracketed_cases,write_not_bracketed_cases,minimum_write_qcrit_fc,median_write_qcrit_fc,minimum_hold_qcrit_fc,median_hold_qcrit_fc,minimum_write_over_minimum_hold
low_vdd_cold__tid_central,5,7,1.503125,2.5656250000000007,1.615625,2.090625,0.9303675048355899
low_vdd_cold__tid_conservative,5,7,1.496875,2.5718750000000004,1.609375,2.090625,0.9300970873786407
low_vdd_cold__tid_stress_not_a_fit,5,7,1.490625,2.578125000000001,1.6031250000000001,2.0906250000000006,0.9298245614035088
low_vdd_hot__tid_central,6,6,1.034375,1.584375,1.053125,1.3,0.9821958456973293
low_vdd_hot__tid_conservative,6,6,1.034375,1.58125,1.046875,1.2937500000000002,0.9880597014925373
low_vdd_hot__tid_stress_not_a_fit,6,6,1.028125,1.58125,1.046875,1.2937500000000002,0.9820895522388059
nominal__tid_central,12,108,1.3843750000000001,2.5250000000000004,1.4343750000000002,1.9031250000000002,0.9651416122004357
nominal__tid_conservative,6,6,1.378125,2.5250000000000004,1.4281250000000003,1.9000000000000004,0.9649890590809627
nominal__tid_stress_not_a_fit,6,6,1.371875,2.5250000000000004,1.4218750000000002,1.896875,0.9648351648351646
high_vdd_cold__tid_central,4,8,2.246875,3.03125,2.3218750000000004,3.03125,0.9676985195154777
high_vdd_cold__tid_conservative,4,8,2.2406249999999996,3.0281249999999997,2.315625,3.0281249999999997,0.9676113360323886
high_vdd_cold__tid_stress_not_a_fit,4,8,2.234375,3.03125,2.309375,3.03125,0.9675236806495263
high_vdd_hot__tid_central,5,7,1.365625,2.246875,1.3906250000000002,1.8250000000000002,0.9820224719101123
high_vdd_hot__tid_conservative,5,7,1.359375,2.2406249999999996,1.3843750000000001,1.81875,0.9819413092550789
high_vdd_hot__tid_stress_not_a_fit,5,7,1.3531250000000001,2.2406249999999996,1.378125,1.8156249999999998,0.981859410430839
