pvt_corner,tid_corner,desired_bit,node,strike_time_ns,strike_source,strike_sink,adverse_polarity,status,qcrit_fc,lower_no_fail_fc,upper_fail_fc,iterations
high_vdd_cold,central,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,central,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,central,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,central,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,central,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,central,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,central,1,q,1.6,q,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,central,1,q,1.69,q,0,high_charge_removal,bracketed,2.246875,2.24375,2.25,11
high_vdd_cold,central,1,q,1.74,q,0,high_charge_removal,bracketed,2.3218750000000004,2.31875,2.325,11
high_vdd_cold,central,1,qb,1.6,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,central,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,4.546875000000001,4.543750000000001,4.550000000000001,13
high_vdd_cold,central,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,3.7406249999999996,3.7375,3.74375,13
high_vdd_cold,conservative,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,conservative,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,conservative,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,conservative,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,conservative,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,conservative,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,conservative,1,q,1.6,q,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,conservative,1,q,1.69,q,0,high_charge_removal,bracketed,2.2406249999999996,2.2375,2.24375,11
high_vdd_cold,conservative,1,q,1.74,q,0,high_charge_removal,bracketed,2.315625,2.3125,2.31875,11
high_vdd_cold,conservative,1,qb,1.6,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,conservative,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,4.5531250000000005,4.550000000000001,4.55625,13
high_vdd_cold,conservative,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,3.7406249999999996,3.7375,3.74375,13
high_vdd_cold,stress_not_a_fit,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,stress_not_a_fit,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,stress_not_a_fit,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,stress_not_a_fit,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,stress_not_a_fit,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,stress_not_a_fit,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,stress_not_a_fit,1,q,1.6,q,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_cold,stress_not_a_fit,1,q,1.69,q,0,high_charge_removal,bracketed,2.234375,2.23125,2.2375,11
high_vdd_cold,stress_not_a_fit,1,q,1.74,q,0,high_charge_removal,bracketed,2.309375,2.3062500000000004,2.3125,11
high_vdd_cold,stress_not_a_fit,1,qb,1.6,0,qb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_cold,stress_not_a_fit,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,4.565625000000001,4.562500000000001,4.568750000000001,13
high_vdd_cold,stress_not_a_fit,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,3.753125,3.75,3.75625,13
high_vdd_hot,central,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_hot,central,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_hot,central,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_hot,central,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_hot,central,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_hot,central,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
high_vdd_hot,central,1,q,1.6,q,0,high_charge_removal,not_bracketed,,12.8,,7
high_vdd_hot,central,1,q,1.69,q,0,high_charge_removal,bracketed,1.365625,1.3625,1.36875,9
high_vdd_hot,central,1,q,1.74,q,0,high_charge_removal,bracketed,1.3843750000000001,1.38125,1.3875000000000002,9
high_vdd_hot,central,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,3.6468750000000005,3.6437500000000003,3.6500000000000004,13
high_vdd_hot,central,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,2.578125000000001,2.5750000000000006,2.5812500000000007,11
